,주소,단지명_공시가,동수,세대수,동명_공시가,지상층수,사용승인일
0,서울특별시 용산구 이태원동 729,남산대림,16,400,103,5,19941231
1,서울특별시 용산구 이태원동 729,남산대림,16,400,102,5,19941231
2,서울특별시 용산구 이태원동 729,남산대림,16,400,101,5,19941231
3,서울특별시 용산구 이촌동 300-23,한강맨숀,23,660,25,5,19710322
4,서울특별시 용산구 이촌동 193-3,강변,4,146,라,6,19710120
5,서울특별시 용산구 이촌동 193-3,강변,4,146,다,6,19710120
6,서울특별시 용산구 이촌동 193-3,강변,4,146,나,6,19710120
7,서울특별시 용산구 이촌동 193-3,강변,4,146,가,6,19710120
8,서울특별시 용산구 용산동2가 47-5,용암한신,1,47,,8,19820315
9,서울특별시 용산구 한남동 807,한남힐스테이트,6,283,106,15,20031002
10,서울특별시 용산구 한남동 807,한남힐스테이트,6,283,105,14,20031002
11,서울특별시 용산구 한남동 807,한남힐스테이트,6,283,104,15,20031002
12,서울특별시 용산구 한남동 807,한남힐스테이트,6,283,103,12,20031002
13,서울특별시 용산구 한남동 807,한남힐스테이트,6,283,102,14,20031002
14,서울특별시 용산구 한남동 807,한남힐스테이트,6,283,101,13,20031002
15,서울특별시 용산구 한강로3가 89,쌍용스윗닷홈,2,98,102,13,20030930
16,서울특별시 노원구 월계동 929,현대,11,1281,107,21,20001125
17,서울특별시 노원구 월계동 929,현대,11,1281,106,26,20001125
18,서울특별시 노원구 월계동 929,현대,11,1281,105,27,20001125
19,서울특별시 노원구 월계동 929,현대,11,1281,104,27,20001125
20,서울특별시 노원구 월계동 929,현대,11,1281,102,27,20001125
21,서울특별시 노원구 월계동 929,현대,11,1281,101,27,20001125
22,서울특별시 노원구 월계동 930,우남그랜드,2,138,102,14,20011204
23,서울특별시 노원구 월계동 930,우남그랜드,2,138,101,22,20011204
24,서울특별시 노원구 월계동 931,장은하이빌,2,105,102,12,20020513
25,서울특별시 노원구 월계동 931,장은하이빌,2,105,101,19,20020513
26,서울특별시 노원구 공릉동 568-6,씨엠아파트,1,10,씨엠 아파트,7,20061027
27,서울특별시 노원구 공릉동 382-14,신명아파트,1,69,,15,19950501
28,서울특별시 노원구 상계동 463,상계신동아,3,385,103,15,19950602
29,서울특별시 노원구 상계동 463,상계신동아,3,385,102,14,19950602
30,서울특별시 노원구 상계동 463,상계신동아,3,385,101,15,19950602
31,서울특별시 노원구 상계동 626,상계주공14(저층),10,240,1416,5,19890421
32,서울특별시 노원구 공릉동 589-3,새울센스빌아파트,1,17,,6,20031203
33,서울특별시 노원구 상계동 626,상계주공14(저층),10,240,1419,5,19890421
34,서울특별시 노원구 상계동 626,상계주공14(저층),10,240,1418,5,19890421
35,서울특별시 노원구 상계동 626,상계주공14(저층),10,240,1417,5,19890421
36,서울특별시 노원구 상계동 626,상계주공14(고층),16,2025,1407,15,19890421
37,서울특별시 노원구 공릉동 351-2,주완위즈빌,1,19,,6,20041229
38,서울특별시 노원구 상계동 626,상계주공14(고층),16,2025,1406,15,19890421
39,서울특별시 노원구 상계동 626,상계주공14(고층),16,2025,1405,15,19890421
40,서울특별시 노원구 상계동 626,상계주공14(고층),16,2025,1404,15,19890421
41,서울특별시 노원구 상계동 626,상계주공14(고층),16,2025,1403,15,19890421
42,서울특별시 노원구 상계동 626,상계주공14(고층),16,2025,1402,15,19890421
43,서울특별시 노원구 상계동 626,상계주공14(고층),16,2025,1401,15,19890421
44,서울특별시 노원구 상계동 626,상계주공14(고층),16,2025,1408,15,19890421
45,서울특별시 노원구 상계동 1280,희락,1,34,,12,19971118
46,서울특별시 노원구 상계동 626,상계주공14(저층),10,240,1415,5,19890421
47,서울특별시 노원구 상계동 626,상계주공14(저층),10,240,1414,5,19890421
48,서울특별시 노원구 상계동 626,상계주공14(저층),10,240,1413,5,19890421
49,서울특별시 노원구 상계동 626,상계주공14(저층),10,240,1412,5,19890421
50,서울특별시 노원구 상계동 626,상계주공14(저층),10,240,1411,5,19890421
51,서울특별시 노원구 상계동 626,상계주공14(저층),10,240,1410,5,19890421
52,서울특별시 노원구 상계동 626,상계주공14(고층),16,2025,1409,15,19890421
53,서울특별시 노원구 상계동 1101-2,송이월드A동,1,18,,7,20040212
54,서울특별시 노원구 상계동 637,상계주공13(고층),9,939,1301,15,19890421
55,서울특별시 노원구 상계동 637,상계주공13(고층),9,939,1304,15,19890421
